date,channel,campaign,ad_set,creative,impressions,clicks,spend,conversions,orders,revenue,cogs,returns,returned_value,new_customers,returning_customers,ctr,cvr,aov,cac,roas,profit,funnel_step
2025-09-11,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS2,Amazon_Camp_1_AS2_CR2,1017,56,38.25,6,6,311.1,145.22,0,0.0,3,3,0.0551,0.1071,51.85,6.38,8.13,127.63,total
2025-09-11,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS1,Amazon_Camp_2_AS1_CR1,807,68,39.12,4,4,232.08,116.85,0,0.0,1,3,0.0843,0.0588,58.02,9.78,5.93,76.11,total
2025-09-11,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS1,Amazon_Camp_2_AS1_CR2,737,59,39.55,6,6,296.75,139.48,0,0.0,2,4,0.0801,0.1017,49.46,6.59,7.5,117.72,total
2025-09-11,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS2,Amazon_Camp_2_AS2_CR1,865,50,32.67,9,9,582.71,311.76,0,0.0,3,6,0.0578,0.18,64.75,3.63,17.84,238.28,total
2025-09-11,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS2,Amazon_Camp_2_AS2_CR2,855,37,22.94,4,4,177.91,83.62,0,0.0,1,3,0.0433,0.1081,44.48,5.74,7.76,71.35,total
2025-09-11,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS1,Amazon_Camp_3_AS1_CR1,555,33,17.83,4,4,211.98,108.56,0,0.0,1,3,0.0595,0.1212,52.99,4.46,11.89,85.59,total
2025-09-11,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS1,Amazon_Camp_3_AS1_CR2,983,70,46.42,7,7,433.9,178.79,0,0.0,4,3,0.0712,0.1,61.99,6.63,9.35,208.69,total
2025-09-11,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS2,Amazon_Camp_3_AS2_CR1,976,85,55.87,7,7,402.74,200.71,0,0.0,2,5,0.0871,0.0824,57.53,7.98,7.21,146.16,total
2025-09-11,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS2,Amazon_Camp_3_AS2_CR2,803,53,39.64,7,7,370.25,176.86,0,0.0,1,6,0.066,0.1321,52.89,5.66,9.34,153.75,total
2025-09-11,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS1,TikTok_Camp_1_AS1_CR1,2139,23,4.62,1,1,32.06,16.37,0,0.0,0,1,0.0108,0.0435,32.06,4.62,6.94,11.07,total
2025-09-11,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS1,TikTok_Camp_1_AS1_CR2,3347,44,8.83,1,1,39.07,17.64,0,0.0,1,0,0.0131,0.0227,39.07,8.83,4.42,12.6,total
2025-09-11,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS2,TikTok_Camp_1_AS2_CR1,2887,47,9.0,2,2,84.17,45.8,0,0.0,1,1,0.0163,0.0426,42.09,4.5,9.35,29.37,total
2025-09-11,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS2,TikTok_Camp_1_AS2_CR2,3609,43,6.62,1,1,38.95,19.53,0,0.0,0,1,0.0119,0.0233,38.95,6.62,5.88,12.8,total
2025-09-11,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS1,TikTok_Camp_2_AS1_CR1,2798,42,9.09,2,2,67.99,30.91,0,0.0,1,1,0.015,0.0476,34.0,4.54,7.48,27.99,total
2025-09-11,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS1,TikTok_Camp_2_AS1_CR2,3156,31,5.63,0,0,0.0,0.0,0,0.0,0,0,0.0098,0.0,27.42,,0.0,-5.63,total
2025-09-11,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS2,TikTok_Camp_2_AS2_CR1,3187,38,6.5,1,1,34.38,16.49,0,0.0,0,1,0.0119,0.0263,34.38,6.5,5.29,11.39,total
2025-09-11,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS2,TikTok_Camp_2_AS2_CR2,3904,40,8.36,2,2,64.93,32.75,0,0.0,1,1,0.0102,0.05,32.46,4.18,7.77,23.82,total
2025-09-11,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS1,TikTok_Camp_3_AS1_CR1,2762,33,8.24,0,0,0.0,0.0,0,0.0,0,0,0.0119,0.0,33.87,,0.0,-8.24,total
2025-09-11,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS1,TikTok_Camp_3_AS1_CR2,3857,47,9.77,0,0,0.0,0.0,0,0.0,0,0,0.0122,0.0,34.08,,0.0,-9.77,total
2025-09-11,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS2,TikTok_Camp_3_AS2_CR1,3205,49,11.15,0,0,0.0,0.0,0,0.0,0,0,0.0153,0.0,37.14,,0.0,-11.15,total
2025-09-11,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS2,TikTok_Camp_3_AS2_CR2,3111,45,9.08,2,2,65.99,34.58,0,0.0,1,1,0.0145,0.0444,32.99,4.54,7.27,22.33,total
2025-09-12,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR1,2247,41,12.76,2,2,104.97,52.53,0,0.0,1,1,0.0182,0.0488,52.48,6.38,8.23,39.68,total
2025-09-12,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR2,3086,61,21.63,5,5,244.6,115.95,0,0.0,1,4,0.0198,0.082,48.92,4.33,11.31,107.02,total
2025-09-12,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR1,3132,66,22.75,5,5,293.54,139.78,0,0.0,2,3,0.0211,0.0758,58.71,4.55,12.9,131.01,total
2025-09-12,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR2,1588,28,8.03,1,1,43.59,17.16,0,0.0,0,1,0.0176,0.0357,43.59,8.03,5.43,18.4,total
2025-09-12,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR1,2918,34,12.64,3,3,130.64,51.56,0,0.0,1,2,0.0117,0.0882,43.55,4.21,10.34,66.44,total
2025-09-12,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR2,2723,42,17.15,1,1,30.64,10.6,0,0.0,0,1,0.0154,0.0238,30.64,17.15,1.79,2.89,total
2025-09-12,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR1,2328,52,18.05,0,0,0.0,0.0,0,0.0,0,0,0.0223,0.0,50.05,,0.0,-18.05,total
2025-09-12,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR2,1858,35,13.45,0,0,0.0,0.0,0,0.0,0,0,0.0188,0.0,39.92,,0.0,-13.45,total
2025-09-12,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR1,3221,50,21.21,2,2,84.35,42.38,0,0.0,0,2,0.0155,0.04,42.18,10.61,3.98,20.76,total
2025-09-12,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR2,1738,14,4.58,2,2,94.31,42.26,0,0.0,1,1,0.0081,0.1429,47.16,2.29,20.59,47.47,total
2025-09-12,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR1,2572,31,10.31,2,2,90.2,42.16,0,0.0,1,1,0.0121,0.0645,45.1,5.16,8.75,37.73,total
2025-09-12,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR2,2690,73,30.52,1,1,53.48,21.38,0,0.0,0,1,0.0271,0.0137,53.48,30.52,1.75,1.58,total
2025-09-12,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR1,1473,51,23.06,1,1,52.97,23.98,0,0.0,1,0,0.0346,0.0196,52.97,23.06,2.3,5.93,total
2025-09-12,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR2,1640,42,20.11,1,1,61.75,25.26,0,0.0,1,0,0.0256,0.0238,61.75,20.11,3.07,16.38,total
2025-09-12,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR1,1741,63,30.64,2,2,125.47,54.02,0,0.0,1,1,0.0362,0.0317,62.74,15.32,4.09,40.81,total
2025-09-12,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR2,1783,66,34.77,6,6,350.79,160.12,0,0.0,1,5,0.037,0.0909,58.46,5.8,10.09,155.9,total
2025-09-12,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR1,1150,47,27.1,2,2,117.31,44.34,0,0.0,0,2,0.0409,0.0426,58.65,13.55,4.33,45.87,total
2025-09-12,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR2,1690,74,42.43,12,12,660.95,247.53,0,0.0,4,8,0.0438,0.1622,55.08,3.54,15.58,370.99,total
2025-09-12,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR1,1061,24,11.59,1,1,52.76,18.33,0,0.0,0,1,0.0226,0.0417,52.76,11.59,4.55,22.84,total
2025-09-12,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR2,1531,74,37.74,2,2,127.09,52.67,0,0.0,0,2,0.0483,0.027,63.55,18.87,3.37,36.68,total
2025-09-12,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR1,1409,53,24.69,4,4,249.9,95.25,0,0.0,0,4,0.0376,0.0755,62.47,6.17,10.12,129.96,total
2025-09-12,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR2,2195,61,31.55,7,7,436.86,189.13,0,0.0,2,5,0.0278,0.1148,62.41,4.51,13.85,216.18,total
2025-09-12,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR1,1604,80,41.07,5,5,174.69,62.28,0,0.0,1,4,0.0499,0.0625,34.94,8.21,4.25,71.34,total
2025-09-12,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR2,2211,86,42.14,7,7,427.39,196.74,0,0.0,3,4,0.0389,0.0814,61.06,6.02,10.14,188.51,total
2025-09-12,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR1,821,57,40.67,10,10,629.79,269.5,0,0.0,2,8,0.0694,0.1754,62.98,4.07,15.49,319.62,total
2025-09-12,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR2,628,22,13.78,0,0,0.0,0.0,0,0.0,0,0,0.035,0.0,51.53,,0.0,-13.78,total
2025-09-12,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS2,Amazon_Camp_1_AS2_CR1,907,77,45.21,7,7,337.82,180.87,0,0.0,1,6,0.0849,0.0909,48.26,6.46,7.47,111.74,total
2025-09-12,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS2,Amazon_Camp_1_AS2_CR2,609,60,39.88,9,9,482.73,224.21,0,0.0,3,6,0.0985,0.15,53.64,4.43,12.1,218.64,total
2025-09-12,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS1,Amazon_Camp_2_AS1_CR1,880,47,30.65,8,8,473.94,268.47,0,0.0,4,4,0.0534,0.1702,59.24,3.83,15.46,174.82,total
2025-09-12,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS1,Amazon_Camp_2_AS1_CR2,792,39,18.93,2,2,117.45,55.0,0,0.0,0,2,0.0492,0.0513,58.73,9.46,6.2,43.52,total
2025-09-12,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS2,Amazon_Camp_2_AS2_CR1,1195,61,38.7,3,3,145.85,72.58,0,0.0,0,3,0.051,0.0492,48.62,12.9,3.77,34.57,total
2025-09-12,Amazon,Amazon_Camp_2,Amazon_Camp_2_AS2,Amazon_Camp_2_AS2_CR2,1085,66,38.75,0,0,0.0,0.0,0,0.0,0,0,0.0608,0.0,50.17,,0.0,-38.75,total
2025-09-12,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS1,Amazon_Camp_3_AS1_CR1,967,70,37.98,9,9,498.54,233.14,0,0.0,3,6,0.0724,0.1286,55.39,4.22,13.13,227.42,total
2025-09-12,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS1,Amazon_Camp_3_AS1_CR2,983,81,46.44,9,9,507.15,227.42,0,0.0,2,7,0.0824,0.1111,56.35,5.16,10.92,233.29,total
2025-09-12,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS2,Amazon_Camp_3_AS2_CR1,656,48,28.42,7,7,362.68,209.88,0,0.0,0,7,0.0732,0.1458,51.81,4.06,12.76,124.38,total
2025-09-12,Amazon,Amazon_Camp_3,Amazon_Camp_3_AS2,Amazon_Camp_3_AS2_CR2,543,29,20.28,5,5,288.25,134.24,0,0.0,1,4,0.0534,0.1724,57.65,4.06,14.21,133.73,total
2025-09-12,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS1,TikTok_Camp_1_AS1_CR1,2749,19,3.97,0,0,0.0,0.0,0,0.0,0,0,0.0069,0.0,34.64,,0.0,-3.97,total
2025-09-12,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS1,TikTok_Camp_1_AS1_CR2,3627,37,7.16,0,0,0.0,0.0,0,0.0,0,0,0.0102,0.0,35.32,,0.0,-7.16,total
2025-09-12,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS2,TikTok_Camp_1_AS2_CR1,2675,26,4.98,1,1,33.53,16.23,0,0.0,0,1,0.0097,0.0385,33.53,4.98,6.73,12.32,total
2025-09-12,TikTok,TikTok_Camp_1,TikTok_Camp_1_AS2,TikTok_Camp_1_AS2_CR2,2815,46,9.26,0,0,0.0,0.0,0,0.0,0,0,0.0163,0.0,34.45,,0.0,-9.26,total
2025-09-12,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS1,TikTok_Camp_2_AS1_CR1,3269,35,7.77,2,2,72.91,40.09,0,0.0,1,1,0.0107,0.0571,36.46,3.88,9.38,25.05,total
2025-09-12,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS1,TikTok_Camp_2_AS1_CR2,3664,38,9.35,2,2,74.6,33.88,0,0.0,1,1,0.0104,0.0526,37.3,4.67,7.98,31.37,total
2025-09-12,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS2,TikTok_Camp_2_AS2_CR1,3630,59,14.11,2,2,60.37,31.1,0,0.0,0,2,0.0163,0.0339,30.19,7.05,4.28,15.16,total
2025-09-12,TikTok,TikTok_Camp_2,TikTok_Camp_2_AS2,TikTok_Camp_2_AS2_CR2,3968,48,8.19,2,2,76.06,40.45,0,0.0,0,2,0.0121,0.0417,38.03,4.09,9.29,27.42,total
2025-09-12,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS1,TikTok_Camp_3_AS1_CR1,3039,36,6.65,0,0,0.0,0.0,0,0.0,0,0,0.0118,0.0,29.44,,0.0,-6.65,total
2025-09-12,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS1,TikTok_Camp_3_AS1_CR2,2612,60,15.3,0,0,0.0,0.0,0,0.0,0,0,0.023,0.0,30.14,,0.0,-15.3,total
2025-09-12,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS2,TikTok_Camp_3_AS2_CR1,1924,43,9.38,0,0,0.0,0.0,0,0.0,0,0,0.0223,0.0,36.18,,0.0,-9.38,total
2025-09-12,TikTok,TikTok_Camp_3,TikTok_Camp_3_AS2,TikTok_Camp_3_AS2_CR2,2572,31,5.38,1,1,26.97,14.02,0,0.0,1,0,0.0121,0.0323,26.97,5.38,5.01,7.57,total
2025-09-13,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR1,2245,32,11.17,0,0,0.0,0.0,0,0.0,0,0,0.0143,0.0,47.98,,0.0,-11.17,total
2025-09-13,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR2,2410,55,19.34,1,1,47.7,18.37,0,0.0,0,1,0.0228,0.0182,47.7,19.34,2.47,9.99,total
2025-09-13,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR1,2025,51,16.06,0,0,0.0,0.0,0,0.0,0,0,0.0252,0.0,56.58,,0.0,-16.06,total
2025-09-13,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR2,2649,63,21.66,2,2,73.4,34.01,0,0.0,0,2,0.0238,0.0317,36.7,10.83,3.39,17.73,total
2025-09-13,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR1,3152,70,23.39,3,3,131.7,55.43,0,0.0,1,2,0.0222,0.0429,43.9,7.8,5.63,52.88,total
2025-09-13,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR2,2485,39,14.26,0,0,0.0,0.0,0,0.0,0,0,0.0157,0.0,48.75,,0.0,-14.26,total
2025-09-13,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR1,3194,55,17.55,1,1,51.67,26.07,0,0.0,0,1,0.0172,0.0182,51.67,17.55,2.94,8.05,total
2025-09-13,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR2,2442,46,17.47,3,3,150.5,61.81,0,0.0,0,3,0.0188,0.0652,50.17,5.82,8.61,71.22,total
2025-09-13,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR1,2584,75,25.94,2,2,96.14,46.15,0,0.0,0,2,0.029,0.0267,48.07,12.97,3.71,24.05,total
2025-09-13,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR2,1967,22,7.68,2,2,98.83,51.34,0,0.0,1,1,0.0112,0.0909,49.42,3.84,12.87,39.81,total
2025-09-13,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR1,2105,39,14.52,3,3,105.8,44.19,0,0.0,1,2,0.0185,0.0769,35.27,4.84,7.29,47.09,total
2025-09-13,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR2,2685,34,12.11,1,1,43.18,18.11,0,0.0,0,1,0.0127,0.0294,43.18,12.11,3.57,12.96,total
2025-09-13,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR1,1703,77,42.82,0,0,0.0,0.0,0,0.0,0,0,0.0452,0.0,59.07,,0.0,-42.82,total
2025-09-13,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR2,1200,49,22.89,2,2,125.64,40.97,0,0.0,0,2,0.0408,0.0408,62.82,11.45,5.49,61.78,total
2025-09-13,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR1,1941,61,27.26,4,4,173.68,65.61,0,0.0,0,4,0.0314,0.0656,43.42,6.82,6.37,80.81,total
2025-09-13,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR2,1779,45,20.86,4,4,247.96,109.1,0,0.0,1,3,0.0253,0.0889,61.99,5.21,11.89,118.0,total
2025-09-13,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR1,1368,40,16.77,0,0,0.0,0.0,0,0.0,0,0,0.0292,0.0,53.0,,0.0,-16.77,total
2025-09-13,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR2,1250,52,28.24,2,2,128.74,59.94,0,0.0,0,2,0.0416,0.0385,64.37,14.12,4.56,40.56,total
2025-09-13,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR1,1758,48,28.4,3,3,190.97,81.53,0,0.0,1,2,0.0273,0.0625,63.66,9.47,6.72,81.04,total
2025-09-13,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR2,1251,21,10.69,0,0,0.0,0.0,0,0.0,0,0,0.0168,0.0,58.41,,0.0,-10.69,total
2025-09-13,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR1,1860,84,46.48,5,5,326.44,113.62,0,0.0,2,3,0.0452,0.0595,65.29,9.3,7.02,166.34,total
2025-09-13,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR2,1568,53,28.8,3,3,185.2,98.17,0,0.0,0,3,0.0338,0.0566,61.73,9.6,6.43,58.23,total
2025-09-13,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR1,1887,60,34.64,3,3,170.87,70.57,0,0.0,1,2,0.0318,0.05,56.96,11.55,4.93,65.66,total
2025-09-13,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR2,1687,69,29.92,1,1,65.2,24.86,0,0.0,0,1,0.0409,0.0145,65.2,29.92,2.18,10.42,total
2025-09-13,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR1,1012,19,14.43,3,3,159.14,80.58,0,0.0,1,2,0.0188,0.1579,53.05,4.81,11.03,64.13,total
2025-09-13,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR2,685,59,32.64,9,9,500.25,287.08,0,0.0,3,6,0.0861,0.1525,55.58,3.63,15.33,180.53,total
2025-09-13,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS2,Amazon_Camp_1_AS2_CR1,762,61,41.86,10,10,422.13,184.61,0,0.0,1,9,0.0801,0.1639,42.21,4.19,10.08,195.66,total
